16/10/2025 10:27:57 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='BRI HUB 1' | 
16/10/2025 10:27:57 : 235311104 | Upload Foto | <ul style='left: 0px; top: 0px;'><li style='width: 200px; text-align:center'><a href=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png><img src=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Antena</b></label><p>hadap depan </p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43466&VID=SCM2018000100030002300&NoTask=100003&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43466&VID=SCM2018000100030002300&NoTask=100003&status=delete&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Delete</a></center></li> &nbsp;&nbsp;</ul> | select * from trx_file where VID='SCM2018000100030002300' And flagDetailTask <> '' | 
16/10/2025 10:27:59 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='BRI HUB 1' | 
16/10/2025 10:27:59 : 235311104 | Upload Foto | <ul style='left: 0px; top: 0px;'><li style='width: 200px; text-align:center'><a href=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png><img src=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Antena</b></label><p>hadap depan </p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43466&VID=SCM2018000100030002300&NoTask=100003&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43466&VID=SCM2018000100030002300&NoTask=100003&status=delete&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Delete</a></center></li> &nbsp;&nbsp;</ul> | select * from trx_file where VID='SCM2018000100030002300' And flagDetailTask <> '' | 
16/10/2025 10:31:48 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='BRI HUB 1' | 
16/10/2025 10:31:48 : 233030302 | Upload Foto | <ul style='left: 0px; top: 0px;'><li style='width: 200px; text-align:center'><a href=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png><img src=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Antena</b></label><p>hadap depan </p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43466&VID=SCM2018000100030002300&NoTask=100003&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43466&VID=SCM2018000100030002300&NoTask=100003&status=delete&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Delete</a></center></li> &nbsp;&nbsp;</ul> | select * from trx_file where VID='SCM2018000100030002300' And flagDetailTask <> '' | 
16/10/2025 10:31:50 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='BRI HUB 1' | 
16/10/2025 10:31:50 : 233030302 | Upload Foto | <ul style='left: 0px; top: 0px;'><li style='width: 200px; text-align:center'><a href=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png><img src=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Antena</b></label><p>hadap depan </p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43466&VID=SCM2018000100030002300&NoTask=100003&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43466&VID=SCM2018000100030002300&NoTask=100003&status=delete&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Delete</a></center></li> &nbsp;&nbsp;</ul> | select * from trx_file where VID='SCM2018000100030002300' And flagDetailTask <> '' | 
16/10/2025 10:58:27 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='BRI HUB 1' | 
16/10/2025 10:58:27 : 233030302 | Upload Foto | <ul style='left: 0px; top: 0px;'><li style='width: 200px; text-align:center'><a href=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png><img src=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Antena</b></label><p>hadap depan </p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43466&VID=SCM2018000100030002300&NoTask=100003&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43466&VID=SCM2018000100030002300&NoTask=100003&status=delete&filename=UploadFoto/20251012124614Screenshot_2025-06-04_123102.png'>Delete</a></center></li> &nbsp;&nbsp;</ul> | select * from trx_file where VID='SCM2018000100030002300' And flagDetailTask <> '' | 
16/10/2025 10:58:29 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='BRI HUB 1' | 
