03/10/2025 08:38:57 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='' | 
03/10/2025 08:38:57 : 233019505 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001203' | 
03/10/2025 08:39:26 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='CIB 2' | 
03/10/2025 08:39:26 : 233019505 | Upload Foto | <ul style='left: 0px; top: 0px;'><li style='width: 200px; text-align:center'><a href=><img src= style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Tiket Pesawat Berangkat</b></label><p>Penggunaan Uang SPD</p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43463&VID=SCM201800010004000041&NoTask=100001&filename='>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43463&VID=SCM201800010004000041&NoTask=100001&status=delete&filename='>Delete</a></center></li> &nbsp;&nbsp;</ul> | select * from trx_file where VID='SCM201800010004000041' | 
03/10/2025 08:40:00 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='' | 
03/10/2025 08:40:00 : 233019505 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001203' | 
03/10/2025 08:41:19 : 233019505 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001203' | 
03/10/2025 08:41:34 : 233019505 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001203' | 
03/10/2025 08:42:27 : 233019505 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001203' | 
03/10/2025 08:42:27 : General Info | Createdetailtask.aspx | Update | Update trDetail_Task set FlagGeneralInfo=1,IdATM = '12312312', IPLAN = '55.234.144.1', TglBerangkat = '2025-10-4', TglSelesaiKerjaan =  '2025-10-7', TglPulang = '2025-10-8', TglStatusPerbaikan = '2025-10-3', UserUpdate = '233019505', DateUpdate = GETDATE() where NoListTask = '43464' | 
03/10/2025 08:42:47 : 233019505 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001203' | 
03/10/2025 14:15:52 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='BRI HUB 2' | 
03/10/2025 14:15:52 : 233030302 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001203' | 
03/10/2025 14:32:04 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='' | 
03/10/2025 14:32:04 : 233030302 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001204' | 
03/10/2025 14:34:34 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='' | 
03/10/2025 14:34:34 : 233030302 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001204' | 
03/10/2025 14:34:45 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='BRI HUB 2' | 
03/10/2025 14:34:45 : 233030302 | Upload Foto | <ul style='left: 0px; top: 0px;'></ul> | select * from trx_file where VID='SCM2018000100030001203' | 
03/10/2025 15:02:37 : System | ExecuteQuery | Error converting data type varchar to numeric. | select * from mshub where id='CIB 2' | 
03/10/2025 15:02:37 : 235311104 | Upload Foto | <ul style='left: 0px; top: 0px;'><li style='width: 200px; text-align:center'><a href=UploadFoto/20251003095432pear_butter_and_apple_bloom___mother_s_love_by_cyanlightning_dde5l6s-fullview.png><img src=UploadFoto/20251003095432pear_butter_and_apple_bloom___mother_s_love_by_cyanlightning_dde5l6s-fullview.png style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Tiket Bis Berangkat</b></label><p>Penggunaan Uang SPD</p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43463&VID=SCM201800010004000041&NoTask=100001&filename=UploadFoto/20251003095432pear_butter_and_apple_bloom___mother_s_love_by_cyanlightning_dde5l6s-fullview.png'>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43463&VID=SCM201800010004000041&NoTask=100001&status=delete&filename=UploadFoto/20251003095432pear_butter_and_apple_bloom___mother_s_love_by_cyanlightning_dde5l6s-fullview.png'>Delete</a></center></li> &nbsp;&nbsp;<li style='width: 200px; text-align:center'><a href=><img src= style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Tiket Pesawat Berangkat</b></label><p>Penggunaan Uang SPD</p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43463&VID=SCM201800010004000041&NoTask=100001&filename='>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43463&VID=SCM201800010004000041&NoTask=100001&status=delete&filename='>Delete</a></center></li> &nbsp;&nbsp;</ul> | select * from trx_file where VID='SCM201800010004000041' | 
03/10/2025 15:02:43 : 235311104 | Upload Foto | <ul style='left: 0px; top: 0px;'><li style='width: 200px; text-align:center'><a href=UploadFoto/20251003095432pear_butter_and_apple_bloom___mother_s_love_by_cyanlightning_dde5l6s-fullview.png><img src=UploadFoto/20251003095432pear_butter_and_apple_bloom___mother_s_love_by_cyanlightning_dde5l6s-fullview.png style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Tiket Bis Berangkat</b></label><p>Penggunaan Uang SPD</p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43463&VID=SCM201800010004000041&NoTask=100001&filename=UploadFoto/20251003095432pear_butter_and_apple_bloom___mother_s_love_by_cyanlightning_dde5l6s-fullview.png'>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43463&VID=SCM201800010004000041&NoTask=100001&status=delete&filename=UploadFoto/20251003095432pear_butter_and_apple_bloom___mother_s_love_by_cyanlightning_dde5l6s-fullview.png'>Delete</a></center></li> &nbsp;&nbsp;<li style='width: 200px; text-align:center'><a href=><img src= style='max-height:200px;max-width:150px;min-height:200px;min-width:100px;'></a><label style='color:Black'><b>Tiket Pesawat Berangkat</b></label><p>Penggunaan Uang SPD</p><center><a class='label label-success' style='width:50%; align:center' href='editfoto.aspx?order=PM&id=43463&VID=SCM201800010004000041&NoTask=100001&filename='>Edit</a></center><center><a class='label label-danger' onclick='if (!UserCustomerConfirmation()) return false;' style='width:50%; align:center' href='createdetiltask.aspx?id=43463&VID=SCM201800010004000041&NoTask=100001&status=delete&filename='>Delete</a></center></li> &nbsp;&nbsp;</ul> | select * from trx_file where VID='SCM201800010004000041' | 
